iyear,Country_Code,terrorism_count,region,Tourism Count
1995,6,185,56,520.0
1995,8,10,3,9.0
1995,11,16,7,2289000.0
1995,12,1,8,12.0
1995,14,5,11,3726000.0
1995,15,12,12,17173000.0
1995,18,8,20,2311000.0
1995,21,1,15,5560000.0
1995,23,1,16,138.0
1995,26,2,26,284.0
1995,30,23,27,1991000.0
1995,32,2,19,3466000.0
1995,34,83,14,34.0
1995,36,56,105,220.0
1995,38,5,32,16932000.0
1995,43,17,35,1540000.0
1995,44,8,36,20034000.0
1995,45,123,41,1399000.0
1995,50,1,85,1485000.0
1995,53,3,49,2100000.0
1995,54,3,50,3381000.0
1995,59,6,57,440.0
1995,60,102,58,2871000.0
1995,61,9,179,235.0
1995,64,2,61,530.0
1995,65,5,62,103.0
1995,68,1,63,1779000.0
1995,69,71,65,60033000.0
1995,71,3,167,172.0
1995,74,17,70,85.0
1995,75,147,51,14847000.0
1995,78,8,77,10130000.0
1995,83,82,80,563.0
1995,87,34,86,145.0
1995,88,12,84,271.0
1995,92,179,91,2124000.0
1995,93,24,88,4324000.0
1995,94,8,94,568.0
1995,96,3,93,4818000.0
1995,97,13,97,2215000.0
1995,98,1,98,31052000.0
1995,100,1,99,1147000.0
1995,101,20,101,3345000.0
1995,102,3,100,1075000.0
1995,104,4,103,918.0
1995,109,1,120,539.0
1995,110,38,111,450.0
1995,115,2,118,650.0
1995,119,3,126,75.0
1995,123,1,131,42.0
1995,124,2,132,1116000.0
1995,130,29,128,20241000.0
1995,136,1,123,2602000.0
1995,138,12,133,194.0
1995,142,7,147,6574000.0
1995,145,18,146,281.0
1995,146,2,144,35.0
1995,156,6,155,345.0
1995,158,12,164,438.0
1995,159,44,156,479.0
1995,160,63,157,1760000.0
1995,161,4,160,19215000.0
1995,162,3,163,4572000.0
1995,166,1,169,5445000.0
1995,167,37,170,10290000.0
1995,174,8,175,280.0
1995,179,3,187,903.0
1995,183,32,221,4488000.0
1995,184,4,108,3753000.0
1995,185,44,60,32971000.0
1995,186,126,116,403.0
1995,195,4,174,29.0
1995,198,1,189,2310000.0
1995,203,1,206,285.0
1995,204,1,196,53.0
1995,205,12,197,6952000.0
1995,207,4,202,260.0
1995,208,1,203,4120000.0
1995,209,133,204,7083000.0
1995,213,7,207,160.0
1995,214,2,208,3716000.0
1995,217,60,210,43318000.0
1995,218,1,209,2022000.0
1995,222,11,213,700.0
1995,223,1,216,1351000.0
1995,230,1,222,163.0
1995,231,2,223,1416000.0
1995,603,22,69,21719000.0
1996,5,6,4,287.0
1996,6,129,56,605.0
1996,8,4,3,21.0
1996,11,19,7,2614000.0
1996,12,1,8,13.0
1996,14,5,11,4165000.0
1996,15,4,12,17090000.0
1996,18,16,20,1988000.0
1996,23,2,16,143.0
1996,26,1,26,313.0
1996,30,18,27,2666000.0
1996,32,12,19,2795000.0
1996,34,35,14,27.0
1996,36,33,105,260.0
1996,38,1,32,17286000.0
1996,43,8,35,1450000.0
1996,44,62,36,22765000.0
1996,45,409,41,631.0
1996,49,1,44,781.0
1996,50,3,85,2914000.0
1996,51,1,46,999.0
1996,53,10,49,1950000.0
1996,54,3,50,4558000.0
1996,58,3,55,1926000.0
1996,59,5,57,494.0
1996,60,51,58,3528000.0
1996,61,7,179,283.0
1996,64,1,61,665.0
1996,65,7,62,109.0
1996,69,270,65,62406000.0
1996,74,3,70,117.0
1996,75,52,51,15205000.0
1996,78,20,77,9233000.0
1996,83,26,80,520.0
1996,87,27,86,150.0
1996,88,19,84,263.0
1996,90,13,87,2979000.0
1996,92,213,91,2288000.0
1996,93,65,88,5034000.0
1996,94,3,94,693.0
1996,96,1,93,5289000.0
1996,97,19,97,2100000.0
1996,98,8,98,32943000.0
1996,100,1,99,1162000.0
1996,101,8,101,3837000.0
1996,102,2,100,1106000.0
1996,104,3,103,947.0
1996,110,39,111,424.0
1996,115,3,118,832.0
1996,119,2,126,83.0
1996,130,75,128,21395000.0
1996,136,2,123,2693000.0
1996,138,13,133,490.0
1996,141,5,149,394.0
1996,142,6,147,6580000.0
1996,145,26,146,303.0
1996,146,1,144,68.0
1996,151,1,148,2746000.0
1996,156,2,155,362.0
1996,159,42,156,584.0
1996,160,61,157,2049000.0
1996,161,6,160,19410000.0
1996,164,1,168,327.0
1996,167,66,170,16208000.0
1996,179,5,187,951.0
1996,180,3,188,832.0
1996,183,47,221,4915000.0
1996,184,1,108,3684000.0
1996,185,63,60,34027000.0
1996,186,176,116,302.0
1996,195,10,174,38.0
1996,198,1,189,2376000.0
1996,204,1,196,58.0
1996,205,19,197,7244000.0
1996,207,3,202,266.0
1996,209,54,204,7966000.0
1996,213,29,207,174.0
1996,214,3,208,3854000.0
1996,217,35,210,46489000.0
1996,218,1,209,2152000.0
1996,220,2,217,46.0
1996,222,12,213,759.0
1996,223,1,216,1607000.0
1996,230,4,222,264.0
1996,603,36,69,22936000.0
1997,5,41,4,119.0
1997,6,344,56,635.0
1997,8,7,3,45.0
1997,11,11,7,2764000.0
1997,14,4,11,4318000.0
1997,15,1,12,16647000.0
1997,18,11,20,2600000.0
